u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
0,39,4,1,1,131.47166680315038,982.8680117474735,0,Failed
1,40,8,1,1,170.2679515674741,349.09465815470065,0,Failed
2,21,8,1,1,4.274320949265922,2743.6153127615185,0,Pass
3,7,1,1,1,1.7586919011013509,20578.510295492488,0,Failed
4,9,1,1,1,262.94327935536563,86.65156394069484,0,Failed
5,38,1,1,1,88.03766648463255,4678.562922731581,0,Failed
6,45,1,1,1,124.02016067527559,401.1894863698563,0,Killed
7,12,1,1,1,2.9167615947760277,2641.0941191124607,0,Killed
8,38,1,1,1,230.0415535453269,71236.49731976943,0,Killed
9,52,1,1,1,1.815684280931443e-19,1.9999999999999998,0,Pass
10,33,8,3,1,29.50599097467481,419.7434075071282,0,Failed
11,21,86,36,1,2288.231791272381,87128.51721933055,0,Killed
12,1,8,6,1,308.39478492390015,44.24760545546235,0,Failed
13,1,1,1,1,44.35137847396841,90.40932831064208,0,Failed
14,20,18,89,2,33.15902728460408,18312.764903772317,0,Pass
15,102,1,1,1,2.3517314020868207,183.30091730228983,0,Pass
16,75,2,7,1,104.43839878461073,61.54668650191597,0,Failed
17,16,8,4,1,96.74020007715106,191.5942494936872,0,Pass
18,12,1,1,1,6.140437636209016,1.9999999999999998,0,Pass
19,38,1,1,1,82.02613130497616,13537.040430613244,0,Killed
20,45,1,1,1,80.95161149595447,88.83887410121521,0,Failed
21,23,1,1,1,27.1495215859462,222.82856799885246,0,Failed
22,16,4,1,1,397.1250698317458,35996.67658211649,0,Killed
23,52,8,1,1,27.108436948733974,253.55486409230005,0,Pass
24,58,8,1,1,175.7292523096115,106164.02235286818,0,Failed
25,2,1,1,1,11.923256002117803,12840.27662569957,0,Killed
26,12,1,1,1,1.1545128867729104,1.9999999999999998,0,Pass
27,59,1,1,1,130.05261631806562,8.873660673216659,0,Failed
28,30,1,1,1,13.584908954618472,4170.636427775006,0,Pass
29,72,8,7,2,57.9326010182251,23.088719419375295,0,Pass
30,69,1,1,1,120.03684523301266,15683.474166687125,0,Pass
31,7,8,1,1,53.38300219532748,75343.36764391538,0,Failed
32,21,1,1,1,68.69423000925421,72998.89493257132,0,Killed
33,93,1,1,1,71.44337390075884,53.72672176371438,0,Killed
